name,series,family,mode,compiler,precision,precision_group,core,variant,lmul,mc,nc,nr,ku,kc,threads,x100_threads,a100_threads,a100_share,matrix_order,iterations,tile_size,status,mflops,avg_time_s,elapsed_s,instructions,l1_loads,l1_load_misses,command,file
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share60_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,60,2000,10,8,valid,15619.146125,1.024384,11.474357771,76057601124,25601997645,8736874593,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=60 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share60_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share80_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,80,2000,10,8,valid,11858.469780,1.349247,15.032189094,48676871821,22898385003,12376670487,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=80 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share80_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share100_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,100,2000,10,8,valid,9247.516398,1.730194,19.187796449,12704839603,14831585469,13586573776,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=100 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share100_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share10_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,10,2000,10,8,valid,12220.152719,1.309313,14.464754997,79979387098,42588685181,3424588811,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=10 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share10_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share30_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,30,2000,10,8,valid,14772.123319,1.083121,11.946190648,62640876919,34773407808,6272238104,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=30 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share30_n2000.txt
gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share90_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m2,2,,,,,,,8,8,90,2000,10,8,valid,10213.354981,1.566576,17.364671016,25175527484,19588270565,13324224697,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=90 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_2 10 2000 8,results/gemm_hetero_rvv_ime_2_clang_fp16_x8_a8_share90_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share20_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,20,2000,10,8,valid,14065.169933,1.137562,12.599879472,41995298296,33435138370,4596876852,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=20 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share20_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share40_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,40,2000,10,8,valid,16718.705546,0.957012,10.644289750,34483795582,30130034358,7418015472,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=40 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share40_n2000.txt
gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share70_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m4,4,,,,,,,8,8,70,2000,10,8,valid,13477.279785,1.187183,13.397712882,27588162525,25581574070,9999291180,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=70 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_4 10 2000 8,results/gemm_hetero_rvv_ime_4_clang_fp16_x8_a8_share70_n2000.txt
gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m8,8,,,,,,,8,8,0,2000,10,8,valid,12545.063309,1.275402,14.073475357,24911293204,38516169729,1984238199,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_8 10 2000 8,results/gemm_hetero_rvv_ime_8_clang_fp16_x8_a8_share0_n2000.txt
