name,series,family,mode,compiler,precision,precision_group,core,variant,lmul,mc,nc,nr,ku,kc,threads,x100_threads,a100_threads,a100_share,matrix_order,iterations,tile_size,status,mflops,avg_time_s,elapsed_s,instructions,l1_loads,l1_load_misses,command,file
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share0_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,0,2000,10,8,valid,9936.734608,1.610187,17.797840687,163546354343,49061004099,2167138968,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=0 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share0_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share10_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,10,2000,10,8,valid,10306.635190,1.552398,17.177241589,149096069557,49617619714,3560462451,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=10 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share10_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share20_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,20,2000,10,8,valid,13199.899906,1.212130,13.389468052,130779696001,30291281564,4395207011,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=20 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share20_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share30_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,30,2000,10,8,valid,12581.011009,1.271758,14.051325366,116978266877,41132223470,6290439726,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=30 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share30_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share40_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,40,2000,10,8,valid,12416.403681,1.288618,14.215163900,103925381736,36228533911,7260849433,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=40 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share40_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share50_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,50,2000,10,8,valid,15572.209612,1.027471,11.389004964,89735486282,34098250520,8712254929,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=50 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share50_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share60_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,60,2000,10,8,valid,15619.146125,1.024384,11.474357771,76057601124,25601997645,8736874593,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=60 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share60_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share70_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,70,2000,10,8,valid,13452.101909,1.189405,13.320962383,62273398215,27544717070,10866388973,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=70 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share70_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share80_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,80,2000,10,8,valid,11858.469780,1.349247,15.032189094,48676871821,22898385003,12376670487,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=80 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share80_n2000.txt
gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share90_n2000,baseline,hetero,rvv_ime,clang,fp16,fp16,,rvv_ime_m1,1,,,,,,,8,8,90,2000,10,8,valid,10206.440502,1.567638,17.430622635,35178406725,20419501808,13661277424,env OMP_DYNAMIC=false X100_THREADS=8 A100_THREADS=8 A100_SHARE=90 A100_BIND=thread X100_CPUS=0-7 ./build/hetero/clang/fp16/gemm_hetero_rvv_ime_1 10 2000 8,results/gemm_hetero_rvv_ime_1_clang_fp16_x8_a8_share90_n2000.txt
